stop_id,stop_name,stop_lat,stop_lon,location_type
1225,Bluegrass @ Sumrall - S,30.513744,-91.130516,0
1226,Bluegrass @ Glen Oaks - S,30.511787,-91.130486,0
1233,Greenwell @ Urban Restoration Apts - W,30.502518,-91.127953,0
1234,Greenwell @ Quida Mae - W,30.502483,-91.129936,0
1235,Greenwell St @ Airline Hwy - N,30.502445,-91.131042,0
1239,Elm Grove @ Central Rd - S,30.535131,-91.16954,0
1240,Central Rd @ Jewel Newman Center - W,30.53507,-91.171883,0
1241,Central Rd @ Elm Grove - E,30.534847,-91.169548,0
1244,Swan @ Kingfisher - W,30.523588,-91.183365,0
1245,Swan @ Isabel Herson - W,30.523642,-91.186035,0
1248,St Ferdinand @ Louisiana - S,30.445175,-91.186623,0
1253,Government @ Eddie Robinson - E,30.443613,-91.175835,0
1259,22nd @ Louisiana - N,30.445633,-91.165771,0
1260,22nd @ North Blvd - N,30.447575,-91.165771,0
1264,22nd @ Government - W,30.444069,-91.165764,0
1268,Government @ Eugene - E,30.443993,-91.160515,0
1270,Government @ Hearthstone - E,30.444122,-91.156769,0
1271,Government @ Acadian Thwy - E,30.444153,-91.154701,0
1278,Government @ Mouton - E,30.444391,-91.142693,0
1280,Government @ Foster - E,30.444489,-91.138794,0
1283,Government @ Franklin - E,30.444637,-91.132683,0
1285,Government @ Ardenwood - E,30.444744,-91.129723,0
1287,Government @ Apartment Ct Dr - E,30.444883,-91.123505,0
1291,Jefferson @ After Corporate - E,30.429995,-91.108688,0
1292,Jefferson @ Mc Carroll - E,30.428341,-91.107574,0
1293,Jefferson @ Argosy - E,30.426535,-91.106567,0
1294,Jefferson @ Brandon - E,30.425663,-91.105888,0
1295,Jefferson @ Owen - E,30.423935,-91.10424,0
1296,Jefferson @ Wrenwood - E,30.422132,-91.101875,0
1297,Jefferson @ Brentwood - E,30.419695,-91.099113,0
1298,Jefferson @ Drusilla Shopping Center - E,30.417992,-91.091675,0
1299,Jefferson @ Drusilla - E,30.417166,-91.090111,0
1300,Jefferson @ Jefferson Heights Apts - E,30.41608,-91.088043,0
1301,Jefferson @ Jefferson Baptist Church - E,30.414227,-91.084648,0
1302,Jefferson @ Bluebonnet Rd - E,30.412661,-91.081535,0
1303,Bluebonnet @ Jefferson - S,30.409369,-91.079521,0
1304,Bluebonnet @ Oliphant - S,30.405851,-91.081123,0
1305,Bluebonnet @ Cal - S,30.402081,-91.083023,0
1306,Bluebonnet @ Blue Cross Pkwy - N,30.398666,-91.084442,0
1307,Bluebonnet @ Blue Cross Pkwy - S,30.399332,-91.084641,0
1308,Bluebonnet @ Gail - N,30.400824,-91.08371,0
1309,Bluebonnet @ Cal - N,30.402088,-91.082649,0
1310,Bluebonnet @ Oliphant - N,30.405453,-91.081039,0
1311,Bluebonnet @ Jefferson - N,30.408937,-91.079414,0
1312,Jefferson @ Bluebonnet Rd - W,30.412842,-91.081451,0
1313,Jefferson @ Jefferson Baptist Church - W,30.415031,-91.085655,0
1314,Jefferson @ Jefferson Heights Apts - W,30.416185,-91.087799,0
1315,Jefferson @ Drusilla Shopping Center - W,30.417665,-91.090599,0
1316,Jefferson @ Fairway - W,30.419027,-91.093285,0
1317,Jefferson @ Essen - W,30.419538,-91.096077,0
1318,Jefferson @ Brentwood - W,30.419624,-91.098557,0
1319,Jefferson @ Mcllhenny - W,30.421118,-91.100304,0
1320,Jefferson @ Wrenwood - W,30.421749,-91.101173,0
1321,Jefferson @ Jefferson Pl Blvd - W,30.422907,-91.102592,0
1322,Jefferson @ Owen - W,30.423901,-91.103981,0
1323,Jefferson @ Brandon - W,30.424759,-91.104767,0
1324,Jefferson @ After Argosy - W,30.427004,-91.106674,0
1326,Jefferson @ Mc Carroll - W,30.428051,-91.107208,0
1327,Jefferson @ Corporate - W,30.430344,-91.108643,0
1328,Lobdell @ Lasalle - N,30.434851,-91.110695,0
1329,Lobdell @ Sevenoaks - N,30.439167,-91.110657,0
1333,Government @ Croydon - W,30.445215,-91.116478,0
1335,Government @ Apartment Ct - W,30.445007,-91.123825,0
1337,Government @ Ardenwood - W,30.444908,-91.127052,0
1339,Government @ Community College Dr - W,30.444672,-91.135597,0
1340,Government @ Foster - W,30.444668,-91.138397,0
1344,Government @ Edison - W,30.444393,-91.146942,0
1347,Government @ Acadian - W,30.444283,-91.154083,0
1349,Government @ Hearthstone - W,30.444242,-91.156357,0
1354,Government @ 19th - W,30.443869,-91.168777,0
1356,Government @ 17th - W,30.44381,-91.171967,0
1358,Government @ Eddie Robinson - W,30.443766,-91.175591,0
1360,Government @ East Blvd - W,30.443607,-91.180115,0
1361,Government @ Napoleon - W,30.443483,-91.183609,0
1364,S Eugene @ Oleander - S,30.442558,-91.160027,0
1365,S Eugene @ McGrath - S,30.441114,-91.159966,0
1366,S Eugene @ Myrtle - S,30.438852,-91.159866,0
1367,S Eugene @ Kleinert - S,30.438021,-91.159866,0
1368,Terrace @ S Eugene - S,30.436913,-91.160088,0
1369,Terrace @ St Rose - W,30.436909,-91.161583,0
1370,Terrace @ Drehr - W,30.436838,-91.163445,0
1371,Terrace @ Camelia - W,30.436787,-91.166451,0
1372,Terrace @ Perkins - W,30.436735,-91.167618,0
1373,Terrace @ Park - W,30.436672,-91.168694,0
1374,Terrace @ S 17th - W,30.4366,-91.17086,0
1375,Terrace @ S 15th - W,30.43655,-91.173111,0
1376,Terrace @ S 14th - W,30.436525,-91.174248,0
1377,Terrace @ Eddie Robinson - W,30.436489,-91.175293,0
1379,Thomas H Delpit @ Swart - S,30.435434,-91.17968,0
1380,Thomas H Delpit @ Louise - S,30.434326,-91.178886,0
1381,Thomas H Delpit @ Education - S,30.433037,-91.178017,0
1383,Thomas H Delpit @ E Washington - S,30.431223,-91.176994,0
1384,Thomas H Delpit @ E Harrison - S,30.429239,-91.176933,0
1385,Thomas H Delpit @ E Polk - S,30.427202,-91.176872,0
1386,Thomas H Delpit @ Taft - S,30.425537,-91.176819,0
1387,Thomas H Delpit @ E Mckinley - S,30.423916,-91.176796,0
1388,Thomas H Delpit @ Roosevelt - S,30.422031,-91.176743,0
1389,W Roosevelt @ Highland - W,30.421835,-91.177979,0
1391,W Roosevelt @ University Terrace Elementary - W,30.421761,-91.182358,0
1392,W Roosevelt @ Alaska - W,30.421694,-91.184143,0
1393,W Roosevelt @ Nicholson - W,30.421595,-91.187355,0
1397,W Roosevelt @ University Terrace Elementary - E,30.421665,-91.182846,0
1398,W Roosevelt @Edward Gay Apts. - E,30.421703,-91.180183,0
1399,W Roosevelt @ Highland - E,30.421768,-91.178314,0
1400,Thomas H Delpit @ Roosevelt - N,30.422291,-91.176567,0
1401,Thomas H Delpit @ E McKinley - N,30.423609,-91.176643,0
1403,Thomas H Delpit @ Taft - N,30.425777,-91.17675,0
1404,Thomas H Delpit @ Polk St - N,30.426802,-91.17675,0
1405,Thomas H Delpit @ E Harrison - N,30.429081,-91.176834,0
1406,Thomas H Delpit @ Washington - N,30.430937,-91.176941,0
1407,Thomas H Delpit @ Howard - N,30.433146,-91.178009,0
1408,Thomas H Delpit @ Louise - N,30.434185,-91.178711,0
1410,Terrace @ S 12th - E,30.436375,-91.176567,0
1411,Terrace @ Eddie Robinson - E,30.436396,-91.175537,0
1412,Terrace @ S 14th - E,30.436417,-91.1745,0
1413,Terrace @ S 18th - E,30.436546,-91.170258,0
1414,Terrace @ Park - E,30.436588,-91.169159,0
1415,Terrace @ Perkins - E,30.436628,-91.167786,0
1416,Terrace @ Drehr - E,30.436699,-91.163666,0
1417,Terrace @ Eugene - E,30.436766,-91.159767,0
1418,S Eugene @ Kleinert - N,30.437658,-91.15966,0
1419,S Eugene @ McGrath - N,30.440895,-91.159859,0
1420,S Eugene @ Oleander - N,30.442282,-91.159904,0
1421,S Eugene @ Government - N,30.443295,-91.159927,0
1424,3rd @ Laurel - N,30.450001,-91.188286,0
1425,3rd St @ South of Main - N,30.450987,-91.188286,0
1426,3rd St @ La. State Library - N,30.453081,-91.188293,0
1431,3rd St @ State Capitol Dr - S,30.456421,-91.188622,0
1433,4th St @ Laurel - S,30.45072,-91.187195,0
1435,North Blvd @ Hearthstone - E,30.448122,-91.156853,0
1436,North Blvd @ Beverly - E,30.44816,-91.155998,0
1437,North Blvd @ Acadian - E,30.448168,-91.155098,0
1438,S Acadian @ Government - S,30.444355,-91.154617,0
1439,S Acadian @ Cole Dr - S,30.443377,-91.153778,0
1440,S Acadian @ Claycut - S,30.44021,-91.152565,0
1441,S Acadian @ Broussard - S,30.436251,-91.152779,0
